iterations,throughput
617.7380,0.0648
616.2802,0.0649
617.9221,0.0647
618.0622,0.0647
620.9583,0.0644
209.4463,0.3820
202.0197,0.3960
207.5584,0.3854
217.2854,0.3682
209.1906,0.3824
240.2185,0.4995
244.6006,0.4906
248.0890,0.4837
245.5681,0.4887
242.3466,0.4952
